user_id,signup_date,city,age_band,employment_type,credit_limit,kyc_status
53,2025-09-14,Delhi,25-34,self_employed,5000,full
54,2025-09-09,Hyderabad,35-44,student,10000,full
55,2025-11-29,Delhi,25-34,student,10000,full
56,2025-10-23,Delhi,35-44,self_employed,10000,full
57,2025-09-02,Delhi,25-34,student,20000,full
58,2025-11-23,Hyderabad,18-24,student,20000,full
59,2025-12-01,Delhi,18-24,salaried,5000,full
60,2025-10-30,Bangalore,18-24,self_employed,10000,partial
61,2025-11-10,Hyderabad,35-44,student,10000,full
62,2025-10-14,Hyderabad,25-34,self_employed,10000,full
63,2025-09-08,Bangalore,25-34,salaried,20000,full
64,2025-10-17,Bangalore,18-24,student,10000,full
65,2025-10-05,Bangalore,18-24,salaried,30000,partial
66,2025-11-17,Delhi,25-34,salaried,5000,full
67,2025-11-20,Delhi,25-34,salaried,10000,partial
68,2025-10-06,Hyderabad,18-24,salaried,10000,full
69,2025-10-20,Mumbai,25-34,self_employed,5000,full
70,2025-09-04,Mumbai,18-24,student,10000,full
71,2025-09-02,Delhi,18-24,salaried,20000,full
72,2025-09-06,Hyderabad,25-34,salaried,20000,full
73,2025-10-24,Delhi,18-24,salaried,10000,full
74,2025-09-04,Pune,35-44,salaried,10000,full
75,2025-10-24,Mumbai,18-24,student,5000,full
76,2025-11-02,Bangalore,18-24,salaried,5000,partial
77,2025-09-18,Mumbai,18-24,salaried,10000,full
78,2025-11-29,Delhi,25-34,student,5000,full
79,2025-10-14,Mumbai,25-34,self_employed,20000,full
80,2025-10-04,Bangalore,25-34,self_employed,20000,full
81,2025-11-13,Bangalore,18-24,salaried,30000,full
82,2025-11-01,Pune,18-24,student,10000,full
83,2025-09-14,Bangalore,25-34,salaried,30000,partial
84,2025-10-18,Hyderabad,25-34,student,10000,partial
85,2025-09-15,Bangalore,35-44,student,10000,full
86,2025-11-11,Mumbai,18-24,salaried,30000,full
87,2025-11-17,Mumbai,25-34,student,10000,full
88,2025-11-26,Mumbai,35-44,student,5000,full
89,2025-11-01,Delhi,18-24,student,20000,full
90,2025-10-10,Bangalore,25-34,student,30000,full
91,2025-11-24,Bangalore,18-24,student,20000,partial
92,2025-11-19,Delhi,35-44,self_employed,10000,full
93,2025-11-21,Mumbai,25-34,student,10000,full
94,2025-10-23,Pune,35-44,student,30000,full
95,2025-09-24,Pune,25-34,student,5000,full
96,2025-09-26,Hyderabad,18-24,self_employed,10000,partial
97,2025-11-28,Hyderabad,35-44,salaried,5000,full
98,2025-10-30,Mumbai,18-24,salaried,10000,full
99,2025-10-11,Bangalore,18-24,self_employed,10000,full
100,2025-09-29,Pune,25-34,salaried,5000,full
101,2025-09-15,Mumbai,25-34,student,5000,full
102,2025-10-15,Mumbai,35-44,student,10000,full
103,2025-11-04,Bangalore,18-24,salaried,5000,full
104,2025-11-28,Delhi,25-34,student,5000,full
105,2025-11-10,Delhi,25-34,salaried,20000,full
106,2025-09-09,Pune,18-24,student,10000,full
107,2025-11-27,Mumbai,18-24,salaried,10000,full
108,2025-09-01,Delhi,18-24,student,30000,full
109,2025-09-08,Pune,18-24,student,5000,full
110,2025-11-27,Bangalore,35-44,salaried,10000,partial
111,2025-11-02,Delhi,25-34,self_employed,10000,full
112,2025-09-11,Bangalore,25-34,salaried,20000,full
113,2025-11-20,Hyderabad,35-44,salaried,30000,full
114,2025-09-08,Pune,18-24,student,30000,full
115,2025-10-05,Bangalore,25-34,student,20000,full
116,2025-10-05,Pune,25-34,student,5000,partial
117,2025-10-03,Bangalore,35-44,student,5000,partial
118,2025-09-05,Pune,18-24,student,10000,full
119,2025-10-11,Hyderabad,35-44,student,5000,full
120,2025-09-28,Hyderabad,18-24,salaried,20000,partial
121,2025-09-07,Bangalore,18-24,student,10000,full
122,2025-11-12,Pune,25-34,salaried,5000,partial
123,2025-11-11,Hyderabad,18-24,salaried,20000,full
124,2025-09-12,Delhi,25-34,salaried,5000,full
125,2025-10-04,Hyderabad,25-34,salaried,10000,full
126,2025-10-03,Bangalore,25-34,student,10000,full
127,2025-10-18,Pune,18-24,student,10000,full
128,2025-09-23,Bangalore,18-24,salaried,10000,full
129,2025-11-01,Hyderabad,18-24,self_employed,5000,full
130,2025-11-27,Mumbai,25-34,student,10000,partial
131,2025-10-07,Bangalore,18-24,student,20000,full
132,2025-10-14,Bangalore,18-24,self_employed,30000,full
133,2025-11-25,Bangalore,18-24,student,10000,full
134,2025-11-30,Delhi,18-24,salaried,10000,full
135,2025-10-05,Delhi,25-34,salaried,20000,full
136,2025-11-04,Mumbai,35-44,student,30000,full
137,2025-10-17,Bangalore,18-24,salaried,5000,full
138,2025-11-17,Bangalore,25-34,salaried,10000,full
139,2025-09-03,Hyderabad,25-34,student,20000,full
140,2025-09-01,Bangalore,25-34,salaried,10000,full
141,2025-09-05,Pune,25-34,salaried,5000,full
142,2025-11-29,Pune,25-34,salaried,10000,partial
143,2025-09-14,Mumbai,25-34,student,5000,partial
144,2025-09-27,Mumbai,18-24,salaried,10000,partial
145,2025-09-09,Pune,25-34,salaried,10000,partial
146,2025-11-18,Bangalore,25-34,salaried,20000,full
147,2025-09-15,Bangalore,18-24,salaried,10000,full
148,2025-11-29,Bangalore,18-24,student,5000,full
149,2025-10-12,Hyderabad,35-44,salaried,5000,full
150,2025-11-16,Bangalore,25-34,salaried,20000,partial
151,2025-10-21,Mumbai,25-34,student,5000,partial
152,2025-11-02,Pune,35-44,salaried,10000,full
153,2025-10-22,Pune,25-34,student,5000,full
154,2025-09-04,Mumbai,25-34,salaried,20000,full
155,2025-09-23,Bangalore,25-34,student,10000,full
156,2025-09-15,Hyderabad,35-44,salaried,10000,full
157,2025-10-13,Mumbai,25-34,self_employed,10000,full
158,2025-09-29,Bangalore,25-34,salaried,20000,partial
159,2025-10-06,Bangalore,18-24,self_employed,10000,full
160,2025-09-13,Pune,35-44,self_employed,20000,partial
161,2025-10-02,Mumbai,25-34,student,20000,full
162,2025-11-10,Hyderabad,18-24,salaried,30000,full
163,2025-10-29,Pune,35-44,salaried,10000,full
164,2025-11-25,Mumbai,25-34,self_employed,30000,partial
165,2025-09-28,Mumbai,18-24,student,5000,full
166,2025-11-05,Delhi,25-34,self_employed,10000,partial
167,2025-10-12,Delhi,25-34,salaried,20000,full
168,2025-10-15,Delhi,35-44,salaried,5000,full
169,2025-11-01,Hyderabad,18-24,student,5000,full
170,2025-10-27,Mumbai,25-34,student,10000,full
171,2025-09-06,Pune,25-34,salaried,10000,full
172,2025-09-28,Delhi,18-24,student,10000,full
173,2025-09-28,Mumbai,35-44,self_employed,20000,full
174,2025-10-14,Mumbai,25-34,student,20000,full
175,2025-11-23,Mumbai,18-24,salaried,10000,partial
176,2025-09-30,Hyderabad,25-34,salaried,5000,full
177,2025-11-01,Bangalore,35-44,salaried,30000,partial
178,2025-11-14,Mumbai,18-24,salaried,5000,full
179,2025-12-01,Bangalore,18-24,student,5000,full
180,2025-11-28,Delhi,18-24,student,5000,full
181,2025-11-01,Delhi,18-24,student,10000,full
182,2025-09-01,Mumbai,25-34,salaried,5000,full
183,2025-09-27,Pune,25-34,salaried,5000,full
184,2025-11-01,Mumbai,18-24,salaried,10000,full
185,2025-11-16,Hyderabad,18-24,salaried,5000,full
186,2025-09-03,Mumbai,18-24,salaried,10000,full
187,2025-11-09,Mumbai,35-44,salaried,20000,full
188,2025-11-11,Bangalore,18-24,student,20000,full
189,2025-09-27,Bangalore,35-44,student,5000,partial
190,2025-09-09,Delhi,25-34,self_employed,5000,full
191,2025-11-01,Delhi,18-24,self_employed,30000,full
192,2025-10-07,Bangalore,35-44,student,5000,full
193,2025-10-21,Bangalore,25-34,salaried,20000,full
194,2025-10-14,Bangalore,25-34,self_employed,5000,full
195,2025-09-24,Pune,35-44,salaried,30000,full
196,2025-11-18,Delhi,18-24,student,10000,partial
197,2025-10-29,Delhi,18-24,student,10000,full
198,2025-10-02,Bangalore,25-34,salaried,20000,full
199,2025-11-27,Mumbai,18-24,self_employed,10000,full
200,2025-10-22,Bangalore,18-24,salaried,10000,full
201,2025-11-01,Bangalore,18-24,student,10000,full
202,2025-10-28,Mumbai,18-24,student,20000,full
203,2025-10-22,Bangalore,25-34,salaried,5000,full
204,2025-09-12,Bangalore,18-24,self_employed,5000,full
205,2025-10-09,Bangalore,25-34,salaried,10000,full
206,2025-09-02,Bangalore,25-34,salaried,5000,full
207,2025-09-03,Bangalore,25-34,student,10000,full
208,2025-10-26,Delhi,18-24,self_employed,5000,full
209,2025-11-20,Hyderabad,25-34,salaried,10000,full
210,2025-10-29,Mumbai,18-24,student,5000,full
211,2025-09-02,Mumbai,25-34,salaried,10000,full
212,2025-09-02,Bangalore,35-44,student,5000,full
213,2025-12-01,Pune,25-34,student,5000,full
214,2025-10-24,Delhi,25-34,student,5000,full
215,2025-11-26,Bangalore,25-34,student,30000,full
216,2025-09-01,Mumbai,18-24,student,5000,full
217,2025-09-19,Bangalore,35-44,salaried,20000,full
218,2025-09-02,Delhi,35-44,salaried,5000,full
219,2025-10-23,Mumbai,18-24,salaried,5000,full
220,2025-10-14,Pune,25-34,student,10000,full
221,2025-11-29,Delhi,35-44,student,10000,full
222,2025-10-02,Hyderabad,35-44,salaried,30000,full
223,2025-11-09,Pune,25-34,salaried,30000,full
224,2025-10-02,Bangalore,25-34,student,20000,full
225,2025-11-07,Bangalore,18-24,self_employed,10000,full
226,2025-10-25,Delhi,35-44,salaried,10000,full
227,2025-11-14,Delhi,18-24,self_employed,10000,partial
228,2025-10-26,Delhi,25-34,salaried,30000,full
229,2025-09-17,Pune,18-24,student,10000,full
230,2025-10-08,Hyderabad,18-24,salaried,10000,full
231,2025-09-24,Mumbai,25-34,student,5000,full
232,2025-11-08,Delhi,35-44,salaried,5000,full
233,2025-11-09,Hyderabad,18-24,student,30000,partial
234,2025-11-25,Pune,25-34,self_employed,10000,partial
235,2025-09-11,Hyderabad,18-24,student,10000,full
236,2025-09-16,Bangalore,18-24,self_employed,5000,full
237,2025-11-12,Mumbai,25-34,self_employed,20000,full
238,2025-10-29,Bangalore,25-34,salaried,5000,full
239,2025-11-09,Bangalore,18-24,salaried,20000,full
240,2025-11-19,Bangalore,18-24,salaried,5000,full
241,2025-09-03,Mumbai,18-24,self_employed,20000,full
242,2025-09-20,Mumbai,18-24,salaried,20000,full
243,2025-10-29,Bangalore,35-44,salaried,5000,full
244,2025-10-06,Delhi,35-44,salaried,10000,partial
245,2025-09-19,Delhi,18-24,self_employed,10000,full
246,2025-11-29,Delhi,25-34,salaried,5000,partial
247,2025-11-06,Bangalore,35-44,salaried,20000,full
248,2025-09-19,Delhi,18-24,salaried,10000,full
249,2025-09-20,Hyderabad,25-34,self_employed,10000,full
250,2025-11-10,Bangalore,35-44,salaried,5000,full
251,2025-10-22,Bangalore,18-24,student,10000,full
252,2025-10-03,Delhi,18-24,salaried,20000,partial
253,2025-10-10,Pune,35-44,self_employed,10000,partial
254,2025-10-09,Mumbai,25-34,salaried,30000,full
255,2025-11-21,Mumbai,18-24,self_employed,30000,full
256,2025-09-01,Delhi,18-24,student,5000,full
257,2025-09-11,Mumbai,25-34,salaried,5000,full
258,2025-12-01,Bangalore,25-34,salaried,20000,full
259,2025-10-27,Mumbai,25-34,self_employed,10000,full
260,2025-11-28,Pune,35-44,student,5000,full
261,2025-10-20,Mumbai,18-24,self_employed,5000,full
262,2025-09-23,Pune,25-34,salaried,10000,full
263,2025-10-01,Hyderabad,25-34,student,20000,full
264,2025-10-12,Bangalore,25-34,student,5000,full
265,2025-09-07,Pune,18-24,student,5000,partial
266,2025-09-16,Bangalore,35-44,salaried,30000,full
267,2025-11-29,Mumbai,35-44,student,20000,partial
268,2025-10-30,Bangalore,25-34,student,10000,full
269,2025-09-02,Bangalore,25-34,self_employed,20000,partial
270,2025-09-01,Delhi,18-24,student,10000,full
271,2025-10-18,Bangalore,25-34,student,20000,full
272,2025-09-12,Delhi,25-34,salaried,10000,partial
273,2025-11-08,Mumbai,25-34,salaried,5000,full
274,2025-10-07,Bangalore,35-44,salaried,20000,full
275,2025-10-02,Bangalore,25-34,salaried,10000,partial
276,2025-09-09,Mumbai,18-24,salaried,30000,full
277,2025-09-19,Delhi,25-34,salaried,10000,partial
278,2025-10-18,Hyderabad,18-24,student,30000,full
279,2025-11-19,Mumbai,18-24,student,30000,partial
280,2025-09-03,Hyderabad,18-24,salaried,5000,full
281,2025-09-20,Mumbai,25-34,salaried,20000,full
282,2025-09-24,Delhi,25-34,salaried,10000,full
283,2025-10-24,Mumbai,25-34,salaried,30000,partial
284,2025-10-03,Bangalore,25-34,salaried,10000,full
285,2025-09-24,Delhi,25-34,student,20000,full
286,2025-11-14,Hyderabad,18-24,student,10000,full
287,2025-11-11,Delhi,25-34,salaried,5000,full
288,2025-10-06,Hyderabad,18-24,salaried,5000,full
289,2025-10-08,Hyderabad,18-24,salaried,10000,partial
290,2025-11-23,Pune,25-34,student,20000,full
291,2025-11-28,Pune,18-24,salaried,10000,full
292,2025-09-25,Delhi,18-24,self_employed,10000,full
293,2025-09-18,Delhi,25-34,student,5000,full
294,2025-11-21,Mumbai,25-34,salaried,10000,full
295,2025-11-05,Delhi,25-34,self_employed,5000,full
296,2025-10-24,Mumbai,35-44,student,20000,full
297,2025-10-05,Hyderabad,25-34,salaried,30000,full
298,2025-11-19,Mumbai,35-44,student,10000,full
299,2025-10-31,Delhi,18-24,salaried,5000,full
300,2025-10-11,Bangalore,25-34,student,5000,full
301,2025-10-03,Delhi,35-44,self_employed,10000,full
302,2025-11-07,Bangalore,25-34,salaried,10000,full
303,2025-10-03,Pune,25-34,salaried,20000,full
304,2025-09-14,Delhi,18-24,salaried,5000,full
305,2025-09-21,Bangalore,18-24,salaried,20000,partial
306,2025-10-18,Bangalore,25-34,salaried,10000,full
307,2025-09-20,Mumbai,18-24,self_employed,10000,full
308,2025-09-08,Mumbai,35-44,self_employed,10000,full
309,2025-09-07,Delhi,18-24,salaried,5000,full
310,2025-11-06,Bangalore,35-44,self_employed,10000,full
311,2025-09-17,Delhi,35-44,salaried,20000,full
312,2025-10-03,Delhi,18-24,salaried,10000,full
313,2025-10-18,Mumbai,18-24,salaried,20000,full
314,2025-11-15,Mumbai,35-44,student,10000,full
315,2025-10-29,Delhi,35-44,student,5000,full
316,2025-11-25,Bangalore,25-34,student,10000,full
317,2025-09-22,Pune,18-24,salaried,10000,full
318,2025-09-30,Delhi,25-34,salaried,10000,full
319,2025-10-08,Mumbai,25-34,salaried,5000,full
320,2025-10-21,Bangalore,18-24,self_employed,10000,full
321,2025-10-24,Delhi,25-34,salaried,5000,full
322,2025-09-08,Bangalore,18-24,salaried,5000,full
323,2025-09-27,Mumbai,18-24,student,10000,full
324,2025-09-27,Pune,18-24,student,10000,full
325,2025-09-21,Delhi,18-24,salaried,30000,full
326,2025-09-30,Bangalore,18-24,salaried,10000,full
327,2025-09-28,Bangalore,25-34,salaried,20000,partial
328,2025-11-03,Delhi,18-24,student,10000,full
329,2025-11-08,Bangalore,18-24,salaried,20000,partial
330,2025-10-31,Bangalore,18-24,student,5000,full
331,2025-10-18,Hyderabad,35-44,student,30000,full
332,2025-09-19,Delhi,25-34,student,10000,full
333,2025-09-04,Bangalore,25-34,student,20000,full
334,2025-10-05,Pune,25-34,student,10000,full
335,2025-11-03,Bangalore,35-44,student,5000,full
336,2025-10-19,Pune,18-24,self_employed,10000,full
337,2025-09-17,Delhi,25-34,student,5000,full
338,2025-10-14,Pune,25-34,student,10000,full
339,2025-12-01,Mumbai,25-34,student,5000,partial
340,2025-09-30,Hyderabad,18-24,salaried,10000,partial
341,2025-10-16,Pune,25-34,student,30000,full
342,2025-09-06,Bangalore,18-24,self_employed,10000,partial
343,2025-10-07,Pune,25-34,self_employed,20000,partial
344,2025-09-24,Delhi,25-34,student,10000,full
345,2025-10-16,Delhi,18-24,salaried,10000,full
346,2025-10-23,Delhi,25-34,student,30000,full
347,2025-10-30,Mumbai,18-24,salaried,20000,full
348,2025-11-02,Bangalore,25-34,salaried,20000,full
349,2025-11-24,Mumbai,25-34,student,5000,full
350,2025-10-02,Mumbai,18-24,student,10000,full
351,2025-11-26,Hyderabad,18-24,salaried,5000,full
352,2025-10-03,Hyderabad,35-44,salaried,10000,full
353,2025-11-06,Delhi,18-24,student,10000,full
354,2025-09-18,Delhi,18-24,salaried,20000,full
355,2025-09-25,Bangalore,18-24,salaried,20000,partial
356,2025-10-24,Bangalore,25-34,self_employed,10000,full
357,2025-10-28,Bangalore,25-34,student,5000,full
358,2025-11-06,Delhi,18-24,salaried,20000,partial
359,2025-10-16,Bangalore,18-24,salaried,5000,partial
360,2025-09-24,Pune,18-24,student,10000,full
361,2025-10-02,Mumbai,18-24,salaried,5000,full
362,2025-10-17,Delhi,25-34,salaried,10000,partial
363,2025-11-25,Mumbai,25-34,self_employed,30000,full
364,2025-09-23,Bangalore,18-24,student,5000,full
365,2025-11-05,Delhi,18-24,salaried,10000,full
366,2025-09-27,Mumbai,18-24,salaried,10000,full
367,2025-09-02,Delhi,35-44,self_employed,30000,full
368,2025-11-29,Delhi,35-44,student,20000,full
369,2025-09-17,Pune,25-34,self_employed,5000,partial
370,2025-10-03,Pune,18-24,self_employed,5000,full
371,2025-09-09,Mumbai,18-24,student,10000,full
372,2025-10-13,Mumbai,18-24,self_employed,10000,full
373,2025-10-18,Mumbai,18-24,self_employed,10000,partial
374,2025-10-09,Bangalore,25-34,student,5000,full
375,2025-10-12,Delhi,25-34,salaried,5000,full
376,2025-09-26,Bangalore,35-44,salaried,10000,partial
377,2025-10-20,Delhi,25-34,student,5000,full
378,2025-09-25,Mumbai,18-24,student,20000,full
379,2025-09-24,Bangalore,25-34,student,5000,partial
380,2025-09-13,Pune,18-24,student,5000,partial
381,2025-10-30,Pune,18-24,salaried,30000,full
382,2025-09-07,Hyderabad,25-34,student,10000,partial
383,2025-10-27,Mumbai,18-24,self_employed,20000,full
384,2025-10-06,Pune,25-34,salaried,5000,full
385,2025-10-15,Bangalore,18-24,student,10000,partial
386,2025-09-20,Hyderabad,25-34,salaried,20000,partial
387,2025-11-04,Bangalore,25-34,salaried,10000,full
388,2025-09-08,Hyderabad,18-24,self_employed,20000,full
389,2025-09-16,Bangalore,25-34,student,10000,full
390,2025-09-14,Pune,18-24,student,10000,full
391,2025-11-15,Pune,25-34,self_employed,10000,full
392,2025-11-26,Bangalore,25-34,self_employed,10000,full
393,2025-09-15,Delhi,25-34,salaried,5000,full
394,2025-12-01,Pune,35-44,salaried,10000,full
395,2025-11-05,Delhi,18-24,student,10000,full
396,2025-10-02,Pune,25-34,salaried,10000,full
397,2025-11-26,Mumbai,25-34,student,20000,full
398,2025-11-02,Delhi,35-44,student,10000,full
399,2025-11-25,Bangalore,18-24,self_employed,30000,partial
400,2025-10-21,Bangalore,25-34,student,5000,full
401,2025-09-25,Hyderabad,25-34,salaried,10000,full
402,2025-10-28,Delhi,18-24,self_employed,20000,full
403,2025-11-02,Mumbai,25-34,student,10000,full
404,2025-11-01,Delhi,18-24,self_employed,10000,full
405,2025-09-22,Mumbai,25-34,self_employed,5000,full
406,2025-10-28,Pune,35-44,salaried,10000,full
407,2025-10-28,Pune,25-34,student,5000,full
408,2025-11-25,Delhi,25-34,student,30000,full
409,2025-10-19,Hyderabad,25-34,salaried,10000,full
410,2025-10-22,Hyderabad,18-24,student,20000,partial
411,2025-10-12,Mumbai,18-24,student,10000,full
412,2025-11-09,Pune,25-34,self_employed,10000,full
413,2025-09-15,Bangalore,18-24,student,10000,full
414,2025-10-24,Bangalore,18-24,salaried,20000,full
415,2025-10-30,Pune,25-34,student,20000,partial
416,2025-09-08,Delhi,18-24,salaried,5000,full
417,2025-10-23,Hyderabad,18-24,self_employed,10000,partial
418,2025-10-30,Pune,25-34,student,10000,full
419,2025-09-05,Bangalore,18-24,student,5000,partial
420,2025-11-07,Pune,35-44,salaried,10000,full
421,2025-09-06,Delhi,35-44,salaried,20000,full
422,2025-10-17,Mumbai,25-34,salaried,10000,full
423,2025-10-25,Mumbai,18-24,student,20000,full
424,2025-10-10,Pune,25-34,student,10000,full
425,2025-10-22,Bangalore,25-34,self_employed,10000,full
426,2025-09-16,Delhi,25-34,self_employed,5000,full
427,2025-09-13,Mumbai,18-24,salaried,20000,partial
428,2025-09-30,Hyderabad,25-34,self_employed,20000,full
429,2025-09-19,Mumbai,25-34,salaried,10000,full
430,2025-09-17,Bangalore,25-34,salaried,5000,partial
431,2025-11-02,Bangalore,25-34,student,5000,partial
432,2025-09-19,Delhi,25-34,salaried,5000,full
433,2025-12-01,Hyderabad,25-34,salaried,10000,full
434,2025-10-28,Bangalore,18-24,student,20000,full
435,2025-10-25,Bangalore,25-34,salaried,5000,full
436,2025-11-29,Pune,18-24,salaried,20000,full
437,2025-11-29,Bangalore,25-34,salaried,10000,full
438,2025-11-01,Pune,18-24,salaried,10000,full
439,2025-09-23,Mumbai,25-34,self_employed,30000,full
440,2025-09-09,Hyderabad,18-24,student,5000,partial
441,2025-09-12,Bangalore,25-34,salaried,30000,full
442,2025-09-01,Bangalore,25-34,salaried,5000,full
443,2025-10-28,Hyderabad,18-24,salaried,10000,full
444,2025-09-01,Hyderabad,18-24,student,20000,full
445,2025-10-04,Hyderabad,18-24,student,30000,full
446,2025-10-18,Bangalore,35-44,self_employed,10000,full
447,2025-11-28,Hyderabad,25-34,salaried,10000,partial
448,2025-09-01,Hyderabad,25-34,self_employed,20000,full
449,2025-09-16,Mumbai,18-24,salaried,20000,full
450,2025-10-31,Hyderabad,25-34,salaried,5000,full
451,2025-11-03,Hyderabad,35-44,self_employed,20000,full
452,2025-11-02,Mumbai,25-34,salaried,10000,full
453,2025-11-08,Bangalore,25-34,salaried,10000,full
454,2025-09-22,Delhi,18-24,salaried,10000,full
455,2025-11-06,Bangalore,18-24,self_employed,10000,full
456,2025-11-15,Delhi,18-24,salaried,30000,full
457,2025-09-26,Delhi,18-24,salaried,10000,full
458,2025-09-16,Bangalore,18-24,student,30000,full
459,2025-10-21,Delhi,18-24,self_employed,5000,full
460,2025-11-25,Bangalore,18-24,student,20000,full
461,2025-10-27,Hyderabad,35-44,salaried,20000,full
462,2025-09-29,Pune,25-34,salaried,10000,partial
463,2025-11-17,Bangalore,25-34,salaried,10000,full
464,2025-12-01,Pune,25-34,salaried,10000,full
465,2025-11-08,Mumbai,18-24,student,20000,full
466,2025-10-17,Bangalore,25-34,salaried,20000,full
467,2025-11-01,Bangalore,18-24,salaried,5000,full
468,2025-11-08,Mumbai,25-34,self_employed,20000,full
469,2025-11-15,Hyderabad,18-24,student,10000,full
470,2025-09-16,Hyderabad,35-44,self_employed,5000,full
471,2025-11-29,Bangalore,18-24,salaried,20000,full
472,2025-11-29,Bangalore,18-24,self_employed,10000,full
473,2025-10-18,Delhi,35-44,salaried,20000,full
474,2025-11-24,Bangalore,18-24,salaried,5000,full
475,2025-10-09,Bangalore,25-34,self_employed,5000,partial
476,2025-10-03,Bangalore,25-34,self_employed,10000,partial
477,2025-09-23,Hyderabad,25-34,salaried,5000,full
478,2025-09-10,Pune,35-44,student,20000,full
479,2025-11-08,Delhi,35-44,salaried,5000,full
480,2025-10-04,Pune,18-24,salaried,10000,partial
481,2025-10-22,Delhi,25-34,student,5000,full
482,2025-09-10,Delhi,25-34,student,5000,partial
483,2025-09-19,Bangalore,25-34,self_employed,20000,full
484,2025-10-28,Mumbai,18-24,student,5000,full
485,2025-09-01,Pune,25-34,salaried,10000,partial
486,2025-11-08,Mumbai,35-44,student,30000,full
487,2025-09-04,Delhi,35-44,student,10000,full
488,2025-09-16,Mumbai,25-34,student,20000,full
489,2025-09-24,Bangalore,18-24,student,5000,full
490,2025-11-19,Pune,18-24,salaried,5000,full
491,2025-09-02,Mumbai,25-34,self_employed,20000,full
492,2025-12-01,Delhi,25-34,student,20000,full
493,2025-10-02,Mumbai,25-34,salaried,10000,full
494,2025-11-30,Mumbai,18-24,salaried,10000,full
495,2025-11-23,Bangalore,25-34,self_employed,10000,partial
496,2025-09-24,Mumbai,25-34,salaried,5000,full
497,2025-09-12,Bangalore,35-44,salaried,20000,full
498,2025-10-20,Hyderabad,25-34,salaried,10000,full
499,2025-10-05,Hyderabad,18-24,self_employed,10000,full
500,2025-10-03,Hyderabad,25-34,student,20000,partial
501,2025-10-03,Mumbai,18-24,salaried,10000,full
502,2025-10-31,Mumbai,35-44,self_employed,5000,full
503,2025-10-21,Bangalore,18-24,salaried,20000,full
504,2025-10-13,Hyderabad,25-34,salaried,20000,full
505,2025-09-12,Bangalore,18-24,salaried,10000,partial
506,2025-11-06,Delhi,25-34,student,5000,partial
507,2025-11-04,Bangalore,25-34,salaried,5000,full
508,2025-10-03,Bangalore,25-34,salaried,10000,partial
509,2025-10-10,Mumbai,18-24,salaried,10000,full
510,2025-11-13,Bangalore,18-24,salaried,20000,full
