user_id,signup_date,city,age_band,employment_type,credit_limit,kyc_status,txn_count,avg_amount,night_txn_ratio,total_spend,default_count,avg_delay
19,2025-09-02,Bangalore,35-44,salaried,10000,full,21,2331.7619047619046,0.3333333333333333,48967,0,0.0
20,2025-11-03,Bangalore,35-44,student,5000,full,34,1939.764705882353,0.2647058823529412,65952,0,0.0
21,2025-10-30,Bangalore,25-34,self_employed,5000,full,32,2069.9375,0.34375,66238,0,2.3333333333333335
22,2025-09-21,Pune,25-34,salaried,10000,full,10,2114.3,0.2,21143,1,0.0
23,2025-10-03,Mumbai,18-24,salaried,10000,full,20,1581.9,0.25,31638,0,3.0
24,2025-11-15,Bangalore,25-34,student,20000,full,32,2135.8125,0.25,68346,0,0.0
25,2025-10-28,Delhi,25-34,salaried,30000,full,39,1756.076923076923,0.1794871794871795,68487,1,4.5
26,2025-09-22,Mumbai,25-34,student,10000,full,24,1701.7916666666667,0.25,40843,1,1.5
27,2025-11-28,Bangalore,25-34,student,20000,partial,38,1979.4473684210527,0.2894736842105263,75219,0,2.3333333333333335
28,2025-10-19,Pune,18-24,salaried,10000,full,26,2314.6923076923076,0.34615384615384615,60182,0,2.6666666666666665
29,2025-11-30,Hyderabad,18-24,student,20000,full,19,2458.842105263158,0.10526315789473684,46718,1,0.0
30,2025-10-29,Mumbai,35-44,salaried,5000,full,27,1742.5555555555557,0.2222222222222222,47049,0,1.6666666666666667
31,2025-10-12,Pune,18-24,student,10000,full,18,1504.611111111111,0.2222222222222222,27083,3,0.0
32,2025-12-01,Delhi,25-34,salaried,10000,full,35,2169.457142857143,0.2,75931,0,0.0
33,2025-10-30,Pune,35-44,student,5000,full,32,1897.40625,0.3125,60717,1,2.5
34,2025-11-19,Mumbai,25-34,student,20000,full,26,2211.6153846153848,0.07692307692307693,57502,1,0.0
35,2025-09-15,Mumbai,25-34,student,20000,full,38,1690.2894736842106,0.18421052631578946,64231,0,0.0
36,2025-11-01,Bangalore,18-24,self_employed,10000,full,18,1549.1666666666667,0.2777777777777778,27885,0,2.3333333333333335
37,2025-11-01,Pune,18-24,self_employed,10000,full,28,3020.25,0.39285714285714285,84567,1,0.0
38,2025-10-17,Delhi,35-44,student,20000,full,13,1564.2307692307693,0.23076923076923078,20335,0,1.0
39,2025-11-01,Bangalore,25-34,salaried,20000,full,16,1624.6875,0.1875,25995,0,1.6666666666666667
40,2025-10-21,Bangalore,25-34,salaried,5000,full,24,1415.125,0.16666666666666666,33963,1,0.0
41,2025-10-25,Mumbai,18-24,self_employed,10000,full,24,2317.5416666666665,0.3333333333333333,55621,0,4.666666666666667
42,2025-11-03,Mumbai,18-24,salaried,10000,full,32,2776.9375,0.1875,88862,1,1.5
43,2025-09-03,Hyderabad,35-44,salaried,10000,full,16,1828.375,0.1875,29254,0,3.3333333333333335
44,2025-10-21,Pune,18-24,student,5000,full,24,1660.3333333333333,0.375,39848,2,0.0
45,2025-09-07,Bangalore,25-34,salaried,10000,full,19,2349.1052631578946,0.2631578947368421,44633,1,0.0
46,2025-09-21,Hyderabad,18-24,self_employed,20000,full,39,1708.6153846153845,0.23076923076923078,66636,0,2.3333333333333335
47,2025-11-12,Bangalore,25-34,salaried,10000,full,27,1488.2222222222222,0.2222222222222222,40182,0,0.0
48,2025-10-09,Pune,35-44,student,30000,full,12,2047.9166666666667,0.25,24575,1,1.5
49,2025-09-18,Hyderabad,25-34,student,20000,full,13,3053.0,0.46153846153846156,39689,0,5.0
50,2025-09-04,Mumbai,18-24,salaried,30000,full,21,2173.714285714286,0.38095238095238093,45648,1,0.0
51,2025-11-28,Hyderabad,25-34,salaried,5000,full,26,2034.5384615384614,0.3076923076923077,52898,0,2.3333333333333335
52,2025-10-30,Delhi,25-34,salaried,20000,full,31,2470.7419354838707,0.2903225806451613,76593,0,4.333333333333333
53,2025-09-14,Delhi,25-34,self_employed,5000,full,17,2215.8823529411766,0.4117647058823529,37670,1,2.0
54,2025-09-09,Hyderabad,35-44,student,10000,full,18,1562.8333333333333,0.4444444444444444,28131,0,0.0
55,2025-11-29,Delhi,25-34,student,10000,full,14,1766.7857142857142,0.5714285714285714,24735,1,0.0
56,2025-10-23,Delhi,35-44,self_employed,10000,full,31,1740.8709677419354,0.2903225806451613,53967,0,1.3333333333333333
57,2025-09-02,Delhi,25-34,student,20000,full,28,1777.857142857143,0.2857142857142857,49780,1,0.0
58,2025-11-23,Hyderabad,18-24,student,20000,full,30,2133.733333333333,0.16666666666666666,64012,1,0.0
59,2025-12-01,Delhi,18-24,salaried,5000,full,37,2162.4054054054054,0.1891891891891892,80009,0,1.6666666666666667
60,2025-10-30,Bangalore,18-24,self_employed,10000,partial,34,1940.0,0.23529411764705882,65960,0,0.0
61,2025-11-10,Hyderabad,35-44,student,10000,full,25,2151.04,0.32,53776,2,0.0
62,2025-10-14,Hyderabad,25-34,self_employed,10000,full,33,2076.4545454545455,0.15151515151515152,68523,2,0.0
63,2025-09-08,Bangalore,25-34,salaried,20000,full,38,1876.4473684210527,0.23684210526315788,71305,1,2.0
64,2025-10-17,Bangalore,18-24,student,10000,full,18,2023.4444444444443,0.16666666666666666,36422,1,2.5
65,2025-10-05,Bangalore,18-24,salaried,30000,partial,33,2552.6969696969695,0.3333333333333333,84239,0,5.333333333333333
66,2025-11-17,Delhi,25-34,salaried,5000,full,30,1673.6333333333334,0.4,50209,0,0.0
67,2025-11-20,Delhi,25-34,salaried,10000,partial,26,1735.6153846153845,0.15384615384615385,45126,0,2.6666666666666665
68,2025-10-06,Hyderabad,18-24,salaried,10000,full,27,2372.777777777778,0.2962962962962963,64065,0,0.0
69,2025-10-20,Mumbai,25-34,self_employed,5000,full,12,1442.1666666666667,0.16666666666666666,17306,0,0.0
70,2025-09-04,Mumbai,18-24,student,10000,full,25,2335.52,0.32,58388,1,3.5
71,2025-09-02,Delhi,18-24,salaried,20000,full,27,1888.7037037037037,0.2222222222222222,50995,0,0.0
72,2025-09-06,Hyderabad,25-34,salaried,20000,full,34,2177.4411764705883,0.2647058823529412,74033,1,0.0
73,2025-10-24,Delhi,18-24,salaried,10000,full,21,2726.9523809523807,0.3333333333333333,57266,1,4.0
74,2025-09-04,Pune,35-44,salaried,10000,full,24,1920.6666666666667,0.2916666666666667,46096,0,0.0
75,2025-10-24,Mumbai,18-24,student,5000,full,15,2496.0,0.4,37440,1,0.0
76,2025-11-02,Bangalore,18-24,salaried,5000,partial,25,1839.04,0.24,45976,0,0.0
77,2025-09-18,Mumbai,18-24,salaried,10000,full,13,2064.846153846154,0.15384615384615385,26843,0,1.0
78,2025-11-29,Delhi,25-34,student,5000,full,32,2045.1875,0.21875,65446,2,0.0
79,2025-10-14,Mumbai,25-34,self_employed,20000,full,22,2324.2272727272725,0.18181818181818182,51133,0,3.0
80,2025-10-04,Bangalore,25-34,self_employed,20000,full,36,3054.972222222222,0.25,109979,0,0.0
81,2025-11-13,Bangalore,18-24,salaried,30000,full,30,2653.9333333333334,0.3,79618,0,3.0
82,2025-11-01,Pune,18-24,student,10000,full,18,2438.8888888888887,0.1111111111111111,43900,0,1.3333333333333333
83,2025-09-14,Bangalore,25-34,salaried,30000,partial,33,1851.2121212121212,0.30303030303030304,61090,0,0.0
84,2025-10-18,Hyderabad,25-34,student,10000,partial,10,2175.0,0.2,21750,0,0.0
85,2025-09-15,Bangalore,35-44,student,10000,full,38,2162.7105263157896,0.39473684210526316,82183,0,2.0
86,2025-11-11,Mumbai,18-24,salaried,30000,full,24,1537.7083333333333,0.20833333333333334,36905,0,0.0
87,2025-11-17,Mumbai,25-34,student,10000,full,20,2470.45,0.2,49409,1,0.0
88,2025-11-26,Mumbai,35-44,student,5000,full,38,2376.8947368421054,0.3684210526315789,90322,2,0.0
89,2025-11-01,Delhi,18-24,student,20000,full,31,1491.9032258064517,0.3548387096774194,46249,1,2.5
90,2025-10-10,Bangalore,25-34,student,30000,full,12,1742.75,0.16666666666666666,20913,1,0.0
91,2025-11-24,Bangalore,18-24,student,20000,partial,15,1044.2666666666667,0.26666666666666666,15664,2,0.0
92,2025-11-19,Delhi,35-44,self_employed,10000,full,31,2414.967741935484,0.16129032258064516,74864,0,0.0
93,2025-11-21,Mumbai,25-34,student,10000,full,28,2147.6071428571427,0.42857142857142855,60133,0,1.0
94,2025-10-23,Pune,35-44,student,30000,full,26,1708.7692307692307,0.23076923076923078,44428,1,7.0
95,2025-09-24,Pune,25-34,student,5000,full,17,2218.0,0.4117647058823529,37706,2,6.0
96,2025-09-26,Hyderabad,18-24,self_employed,10000,partial,31,2150.8064516129034,0.22580645161290322,66675,2,0.0
97,2025-11-28,Hyderabad,35-44,salaried,5000,full,39,1798.2051282051282,0.28205128205128205,70130,1,7.5
98,2025-10-30,Mumbai,18-24,salaried,10000,full,11,1863.909090909091,0.18181818181818182,20503,0,2.3333333333333335
99,2025-10-11,Bangalore,18-24,self_employed,10000,full,27,2030.5925925925926,0.25925925925925924,54826,0,1.6666666666666667
100,2025-09-29,Pune,25-34,salaried,5000,full,23,2257.3478260869565,0.2608695652173913,51919,1,3.5
101,2025-09-15,Mumbai,25-34,student,5000,full,38,1691.8947368421052,0.3157894736842105,64292,1,4.0
102,2025-10-15,Mumbai,35-44,student,10000,full,37,2110.9189189189187,0.16216216216216217,78104,0,1.3333333333333333
103,2025-11-04,Bangalore,18-24,salaried,5000,full,14,1554.4285714285713,0.14285714285714285,21762,0,0.0
104,2025-11-28,Delhi,25-34,student,5000,full,36,2147.777777777778,0.3055555555555556,77320,1,0.0
105,2025-11-10,Delhi,25-34,salaried,20000,full,26,2138.576923076923,0.2692307692307692,55603,0,1.3333333333333333
106,2025-09-09,Pune,18-24,student,10000,full,24,2720.125,0.3333333333333333,65283,1,0.0
107,2025-11-27,Mumbai,18-24,salaried,10000,full,28,1188.607142857143,0.35714285714285715,33281,2,0.0
108,2025-09-01,Delhi,18-24,student,30000,full,15,2336.733333333333,0.3333333333333333,35051,0,0.0
109,2025-09-08,Pune,18-24,student,5000,full,10,1742.8,0.1,17428,1,3.0
110,2025-11-27,Bangalore,35-44,salaried,10000,partial,26,1963.923076923077,0.38461538461538464,51062,0,0.0
111,2025-11-02,Delhi,25-34,self_employed,10000,full,39,2176.5641025641025,0.3076923076923077,84886,1,3.5
112,2025-09-11,Bangalore,25-34,salaried,20000,full,14,2179.1428571428573,0.35714285714285715,30508,1,2.0
113,2025-11-20,Hyderabad,35-44,salaried,30000,full,29,1954.8275862068965,0.3448275862068966,56690,0,0.0
114,2025-09-08,Pune,18-24,student,30000,full,26,2237.1923076923076,0.2692307692307692,58167,1,2.5
115,2025-10-05,Bangalore,25-34,student,20000,full,28,2197.75,0.2857142857142857,61537,1,0.0
116,2025-10-05,Pune,25-34,student,5000,partial,14,2694.6428571428573,0.35714285714285715,37725,0,0.0
117,2025-10-03,Bangalore,35-44,student,5000,partial,28,1271.5357142857142,0.39285714285714285,35603,2,0.0
118,2025-09-05,Pune,18-24,student,10000,full,13,1312.076923076923,0.38461538461538464,17057,0,1.3333333333333333
119,2025-10-11,Hyderabad,35-44,student,5000,full,30,1654.1,0.3,49623,1,0.0
120,2025-09-28,Hyderabad,18-24,salaried,20000,partial,33,2536.121212121212,0.30303030303030304,83692,0,3.0
121,2025-09-07,Bangalore,18-24,student,10000,full,14,1749.642857142857,0.5,24495,1,0.0
122,2025-11-12,Pune,25-34,salaried,5000,partial,29,1863.0344827586207,0.4482758620689655,54028,0,0.0
123,2025-11-11,Hyderabad,18-24,salaried,20000,full,25,1933.48,0.28,48337,1,0.0
124,2025-09-12,Delhi,25-34,salaried,5000,full,14,3156.3571428571427,0.2857142857142857,44189,1,0.0
125,2025-10-04,Hyderabad,25-34,salaried,10000,full,17,1554.7058823529412,0.17647058823529413,26430,0,0.0
126,2025-10-03,Bangalore,25-34,student,10000,full,31,2207.8064516129034,0.1935483870967742,68442,0,1.6666666666666667
127,2025-10-18,Pune,18-24,student,10000,full,35,1855.7428571428572,0.22857142857142856,64951,1,0.0
128,2025-09-23,Bangalore,18-24,salaried,10000,full,24,1984.7916666666667,0.4166666666666667,47635,0,2.3333333333333335
129,2025-11-01,Hyderabad,18-24,self_employed,5000,full,16,1514.3125,0.3125,24229,1,0.0
130,2025-11-27,Mumbai,25-34,student,10000,partial,28,1247.1785714285713,0.10714285714285714,34921,0,1.3333333333333333
131,2025-10-07,Bangalore,18-24,student,20000,full,33,1743.060606060606,0.36363636363636365,57521,0,0.0
132,2025-10-14,Bangalore,18-24,self_employed,30000,full,35,1559.7428571428572,0.14285714285714285,54591,0,1.0
133,2025-11-25,Bangalore,18-24,student,10000,full,39,2255.5897435897436,0.358974358974359,87968,1,0.0
134,2025-11-30,Delhi,18-24,salaried,10000,full,37,2063.7837837837837,0.1891891891891892,76360,1,0.0
135,2025-10-05,Delhi,25-34,salaried,20000,full,33,2022.1818181818182,0.30303030303030304,66732,0,0.0
136,2025-11-04,Mumbai,35-44,student,30000,full,23,1573.391304347826,0.17391304347826086,36188,0,3.0
137,2025-10-17,Bangalore,18-24,salaried,5000,full,20,2051.1,0.35,41022,0,0.0
138,2025-11-17,Bangalore,25-34,salaried,10000,full,38,1596.7105263157894,0.23684210526315788,60675,0,4.666666666666667
139,2025-09-03,Hyderabad,25-34,student,20000,full,38,1864.157894736842,0.23684210526315788,70838,0,1.3333333333333333
140,2025-09-01,Bangalore,25-34,salaried,10000,full,31,2776.7096774193546,0.16129032258064516,86078,0,0.0
141,2025-09-05,Pune,25-34,salaried,5000,full,27,1909.5925925925926,0.18518518518518517,51559,0,2.0
142,2025-11-29,Pune,25-34,salaried,10000,partial,20,1920.15,0.2,38403,0,2.6666666666666665
143,2025-09-14,Mumbai,25-34,student,5000,partial,16,1625.1875,0.25,26003,0,2.6666666666666665
144,2025-09-27,Mumbai,18-24,salaried,10000,partial,11,1317.909090909091,0.2727272727272727,14497,0,1.6666666666666667
145,2025-09-09,Pune,25-34,salaried,10000,partial,18,2089.777777777778,0.16666666666666666,37616,0,0.0
146,2025-11-18,Bangalore,25-34,salaried,20000,full,15,1740.7333333333333,0.3333333333333333,26111,0,0.0
147,2025-09-15,Bangalore,18-24,salaried,10000,full,28,2397.8571428571427,0.39285714285714285,67140,1,4.0
148,2025-11-29,Bangalore,18-24,student,5000,full,35,2095.7428571428572,0.42857142857142855,73351,1,5.0
149,2025-10-12,Hyderabad,35-44,salaried,5000,full,39,1987.076923076923,0.28205128205128205,77496,0,0.0
150,2025-11-16,Bangalore,25-34,salaried,20000,partial,36,1495.138888888889,0.2777777777777778,53825,1,0.0
151,2025-10-21,Mumbai,25-34,student,5000,partial,30,1641.2333333333333,0.2,49237,0,2.0
152,2025-11-02,Pune,35-44,salaried,10000,full,25,1626.48,0.24,40662,0,2.3333333333333335
153,2025-10-22,Pune,25-34,student,5000,full,36,2246.9166666666665,0.19444444444444445,80889,0,0.0
154,2025-09-04,Mumbai,25-34,salaried,20000,full,31,1518.4516129032259,0.3870967741935484,47072,0,0.0
155,2025-09-23,Bangalore,25-34,student,10000,full,19,1428.842105263158,0.3157894736842105,27148,2,0.0
156,2025-09-15,Hyderabad,35-44,salaried,10000,full,31,2498.8064516129034,0.3225806451612903,77463,0,0.0
157,2025-10-13,Mumbai,25-34,self_employed,10000,full,11,1486.2727272727273,0.2727272727272727,16349,1,4.0
158,2025-09-29,Bangalore,25-34,salaried,20000,partial,16,1593.375,0.5,25494,1,0.0
159,2025-10-06,Bangalore,18-24,self_employed,10000,full,32,2300.625,0.21875,73620,3,0.0
160,2025-09-13,Pune,35-44,self_employed,20000,partial,28,1694.9642857142858,0.32142857142857145,47459,1,0.0
161,2025-10-02,Mumbai,25-34,student,20000,full,30,2199.6666666666665,0.13333333333333333,65990,0,0.0
162,2025-11-10,Hyderabad,18-24,salaried,30000,full,20,2760.15,0.25,55203,0,0.0
163,2025-10-29,Pune,35-44,salaried,10000,full,28,2065.3214285714284,0.32142857142857145,57829,0,4.666666666666667
164,2025-11-25,Mumbai,25-34,self_employed,30000,partial,33,1984.3333333333333,0.3939393939393939,65483,1,1.5
165,2025-09-28,Mumbai,18-24,student,5000,full,10,1471.6,0.3,14716,2,8.0
166,2025-11-05,Delhi,25-34,self_employed,10000,partial,23,2415.217391304348,0.21739130434782608,55550,0,0.0
167,2025-10-12,Delhi,25-34,salaried,20000,full,21,2130.6190476190477,0.42857142857142855,44743,0,0.0
168,2025-10-15,Delhi,35-44,salaried,5000,full,18,2506.6111111111113,0.16666666666666666,45119,0,3.0
169,2025-11-01,Hyderabad,18-24,student,5000,full,15,1249.9333333333334,0.2,18749,0,0.0
170,2025-10-27,Mumbai,25-34,student,10000,full,27,1993.111111111111,0.3333333333333333,53814,0,0.0
171,2025-09-06,Pune,25-34,salaried,10000,full,26,2266.0384615384614,0.34615384615384615,58917,0,0.0
172,2025-09-28,Delhi,18-24,student,10000,full,22,2336.909090909091,0.22727272727272727,51412,1,0.0
173,2025-09-28,Mumbai,35-44,self_employed,20000,full,18,1761.3333333333333,0.4444444444444444,31704,0,1.3333333333333333
174,2025-10-14,Mumbai,25-34,student,20000,full,37,2163.3783783783783,0.24324324324324326,80045,1,0.0
175,2025-11-23,Mumbai,18-24,salaried,10000,partial,20,2498.15,0.3,49963,0,2.3333333333333335
176,2025-09-30,Hyderabad,25-34,salaried,5000,full,21,2359.4761904761904,0.3333333333333333,49549,0,0.0
177,2025-11-01,Bangalore,35-44,salaried,30000,partial,16,1712.8125,0.3125,27405,0,1.6666666666666667
178,2025-11-14,Mumbai,18-24,salaried,5000,full,26,2223.230769230769,0.4230769230769231,57804,0,0.0
179,2025-12-01,Bangalore,18-24,student,5000,full,29,2130.551724137931,0.20689655172413793,61786,1,0.0
180,2025-11-28,Delhi,18-24,student,5000,full,11,2539.7272727272725,0.18181818181818182,27937,0,1.6666666666666667
181,2025-11-01,Delhi,18-24,student,10000,full,36,2088.8611111111113,0.3888888888888889,75199,1,0.0
182,2025-09-01,Mumbai,25-34,salaried,5000,full,10,2331.0,0.4,23310,1,0.0
183,2025-09-27,Pune,25-34,salaried,5000,full,28,2298.785714285714,0.25,64366,0,0.0
184,2025-11-01,Mumbai,18-24,salaried,10000,full,28,2754.5714285714284,0.14285714285714285,77128,0,1.3333333333333333
185,2025-11-16,Hyderabad,18-24,salaried,5000,full,19,2340.7368421052633,0.10526315789473684,44474,1,0.0
186,2025-09-03,Mumbai,18-24,salaried,10000,full,19,2125.4210526315787,0.15789473684210525,40383,1,0.0
187,2025-11-09,Mumbai,35-44,salaried,20000,full,34,1770.5294117647059,0.35294117647058826,60198,2,3.0
188,2025-11-11,Bangalore,18-24,student,20000,full,35,2598.3714285714286,0.14285714285714285,90943,0,0.0
189,2025-09-27,Bangalore,35-44,student,5000,partial,34,1576.9411764705883,0.29411764705882354,53616,1,0.0
190,2025-09-09,Delhi,25-34,self_employed,5000,full,39,2335.25641025641,0.3076923076923077,91075,1,0.0
191,2025-11-01,Delhi,18-24,self_employed,30000,full,22,2286.2272727272725,0.4090909090909091,50297,2,0.0
192,2025-10-07,Bangalore,35-44,student,5000,full,22,1521.590909090909,0.2727272727272727,33475,1,0.0
193,2025-10-21,Bangalore,25-34,salaried,20000,full,19,2914.0,0.2631578947368421,55366,0,0.0
194,2025-10-14,Bangalore,25-34,self_employed,5000,full,20,2716.1,0.2,54322,2,0.0
195,2025-09-24,Pune,35-44,salaried,30000,full,20,2022.05,0.3,40441,1,0.0
196,2025-11-18,Delhi,18-24,student,10000,partial,39,1601.5384615384614,0.41025641025641024,62460,1,1.5
197,2025-10-29,Delhi,18-24,student,10000,full,24,2287.4166666666665,0.25,54898,0,3.0
198,2025-10-02,Bangalore,25-34,salaried,20000,full,21,1596.3333333333333,0.3333333333333333,33523,0,0.0
199,2025-11-27,Mumbai,18-24,self_employed,10000,full,22,2107.0454545454545,0.4090909090909091,46355,0,2.3333333333333335
200,2025-10-22,Bangalore,18-24,salaried,10000,full,37,1538.2162162162163,0.2972972972972973,56914,0,0.0
201,2025-11-01,Bangalore,18-24,student,10000,full,16,1445.1875,0.25,23123,1,5.0
202,2025-10-28,Mumbai,18-24,student,20000,full,16,1786.25,0.1875,28580,3,0.0
203,2025-10-22,Bangalore,25-34,salaried,5000,full,12,1653.3333333333333,0.16666666666666666,19840,1,2.5
204,2025-09-12,Bangalore,18-24,self_employed,5000,full,21,1694.142857142857,0.19047619047619047,35577,2,0.0
205,2025-10-09,Bangalore,25-34,salaried,10000,full,15,2278.2,0.2,34173,1,0.0
206,2025-09-02,Bangalore,25-34,salaried,5000,full,30,2298.633333333333,0.36666666666666664,68959,0,0.0
207,2025-09-03,Bangalore,25-34,student,10000,full,18,2627.3333333333335,0.3333333333333333,47292,1,4.0
208,2025-10-26,Delhi,18-24,self_employed,5000,full,14,1552.0714285714287,0.2857142857142857,21729,0,0.0
209,2025-11-20,Hyderabad,25-34,salaried,10000,full,33,1592.7575757575758,0.3333333333333333,52561,0,3.3333333333333335
210,2025-10-29,Mumbai,18-24,student,5000,full,32,2667.65625,0.1875,85365,1,2.5
211,2025-09-02,Mumbai,25-34,salaried,10000,full,14,1794.7142857142858,0.7142857142857143,25126,0,0.0
212,2025-09-02,Bangalore,35-44,student,5000,full,24,2862.0416666666665,0.125,68689,1,0.0
213,2025-12-01,Pune,25-34,student,5000,full,18,1465.5555555555557,0.3333333333333333,26380,1,4.5
214,2025-10-24,Delhi,25-34,student,5000,full,16,2114.875,0.1875,33838,1,0.0
215,2025-11-26,Bangalore,25-34,student,30000,full,21,2242.809523809524,0.3333333333333333,47099,2,0.0
216,2025-09-01,Mumbai,18-24,student,5000,full,35,2165.1714285714284,0.37142857142857144,75781,2,8.0
217,2025-09-19,Bangalore,35-44,salaried,20000,full,27,1495.3333333333333,0.3333333333333333,40374,0,0.0
218,2025-09-02,Delhi,35-44,salaried,5000,full,13,2088.6923076923076,0.23076923076923078,27153,0,1.6666666666666667
219,2025-10-23,Mumbai,18-24,salaried,5000,full,12,1693.4166666666667,0.16666666666666666,20321,0,1.6666666666666667
220,2025-10-14,Pune,25-34,student,10000,full,24,1750.7083333333333,0.3333333333333333,42017,1,0.0
221,2025-11-29,Delhi,35-44,student,10000,full,22,1989.590909090909,0.2727272727272727,43771,0,0.0
222,2025-10-02,Hyderabad,35-44,salaried,30000,full,20,1451.85,0.35,29037,0,1.6666666666666667
223,2025-11-09,Pune,25-34,salaried,30000,full,36,2235.5555555555557,0.25,80480,0,0.0
224,2025-10-02,Bangalore,25-34,student,20000,full,18,1509.611111111111,0.16666666666666666,27173,0,3.0
225,2025-11-07,Bangalore,18-24,self_employed,10000,full,24,2430.4583333333335,0.4583333333333333,58331,0,0.0
226,2025-10-25,Delhi,35-44,salaried,10000,full,38,1919.657894736842,0.2631578947368421,72947,0,0.0
227,2025-11-14,Delhi,18-24,self_employed,10000,partial,30,1700.0,0.3333333333333333,51000,1,4.5
228,2025-10-26,Delhi,25-34,salaried,30000,full,14,1804.142857142857,0.2857142857142857,25258,0,2.6666666666666665
229,2025-09-17,Pune,18-24,student,10000,full,39,2675.8205128205127,0.23076923076923078,104357,1,0.0
230,2025-10-08,Hyderabad,18-24,salaried,10000,full,29,2506.1724137931033,0.27586206896551724,72679,0,0.0
231,2025-09-24,Mumbai,25-34,student,5000,full,36,2504.0833333333335,0.1388888888888889,90147,0,0.0
232,2025-11-08,Delhi,35-44,salaried,5000,full,16,2145.5625,0.1875,34329,0,2.0
233,2025-11-09,Hyderabad,18-24,student,30000,partial,32,2348.625,0.21875,75156,0,2.6666666666666665
234,2025-11-25,Pune,25-34,self_employed,10000,partial,17,2049.176470588235,0.35294117647058826,34836,1,3.5
235,2025-09-11,Hyderabad,18-24,student,10000,full,26,1712.3076923076924,0.2692307692307692,44520,0,4.333333333333333
236,2025-09-16,Bangalore,18-24,self_employed,5000,full,15,2166.4,0.2,32496,0,0.0
237,2025-11-12,Mumbai,25-34,self_employed,20000,full,38,1932.0526315789473,0.34210526315789475,73418,0,2.3333333333333335
238,2025-10-29,Bangalore,25-34,salaried,5000,full,24,1765.5833333333333,0.20833333333333334,42374,0,0.0
239,2025-11-09,Bangalore,18-24,salaried,20000,full,28,2143.8214285714284,0.35714285714285715,60027,0,3.0
240,2025-11-19,Bangalore,18-24,salaried,5000,full,33,2303.3333333333335,0.30303030303030304,76010,0,3.6666666666666665
241,2025-09-03,Mumbai,18-24,self_employed,20000,full,24,1765.8333333333333,0.08333333333333333,42380,1,0.0
242,2025-09-20,Mumbai,18-24,salaried,20000,full,36,1605.0,0.2777777777777778,57780,0,0.0
243,2025-10-29,Bangalore,35-44,salaried,5000,full,20,2048.25,0.15,40965,0,2.0
244,2025-10-06,Delhi,35-44,salaried,10000,partial,10,2506.7,0.2,25067,2,3.0
245,2025-09-19,Delhi,18-24,self_employed,10000,full,22,2635.409090909091,0.36363636363636365,57979,1,0.0
246,2025-11-29,Delhi,25-34,salaried,5000,partial,23,2070.086956521739,0.17391304347826086,47612,0,1.0
247,2025-11-06,Bangalore,35-44,salaried,20000,full,24,2380.375,0.375,57129,0,3.0
248,2025-09-19,Delhi,18-24,salaried,10000,full,37,1582.5675675675675,0.35135135135135137,58555,1,0.0
249,2025-09-20,Hyderabad,25-34,self_employed,10000,full,31,1830.3548387096773,0.16129032258064516,56741,1,4.5
250,2025-11-10,Bangalore,35-44,salaried,5000,full,20,2158.05,0.25,43161,0,0.0
251,2025-10-22,Bangalore,18-24,student,10000,full,39,1396.871794871795,0.2564102564102564,54478,0,3.3333333333333335
252,2025-10-03,Delhi,18-24,salaried,20000,partial,17,1711.5294117647059,0.35294117647058826,29096,1,1.5
